groupId,adId,clicks,impressions
1270395262,9783790282,5,768
1270395262,36655885402,7,762
1398184462,4221004132,45,1181
1444035682,9783863122,6,699
1444035682,9783863242,27,5538
1998229282,6790489882,49,1711
2223335962,6953282962,7,724
2223335962,37348551922,25,3790
2523349042,8691627082,126,2108
2523349042,35523327562,124,2268
2523349882,8672170882,12,172
2523350122,13070777962,44,348
2523350362,13070774362,39,341
2523350482,13070774842,41,309
2523350722,13070782042,13,304
2536173682,13070780602,88,1258
2536173682,13070780722,26,458
2536173682,13070780962,18,367
2536175602,13070771962,39,551
2536175722,10744888522,36,359
2536175962,10744888762,146,1095
2536176082,8691644722,16,271
2536176082,8691644842,38,516
2536177282,13070781802,28,279
2597212162,22635227482,2,316
2597212402,22635227962,2,328
2597212522,30126243082,3,291
2597212642,22635228322,312,36979
2597212642,22635228442,104,11590
2597212882,8884024042,4,205
2597213002,22635228682,6,288
2597213122,8884025842,1,115
2597213122,30126242842,1,151
2597213242,22635229042,2,107
2597213482,8884025962,1,139
2597213482,22635229402,5,334
2597213722,22656808762,0,196
2603142922,9071770402,1,353
2603143042,8924341762,8,1067
2603143042,36655885522,11,1080
2776844002,9783863362,4,464
2776844002,9783863482,18,902
2776846282,9784002442,3,581
2776846282,36655885282,3,782
2776853002,9784079122,0,140
2776853002,9784079242,0,455
2776853002,37348552042,1,278
2776854802,15611489842,4,467
2776854802,37697015962,13,692
2776854922,9784123762,1,335
2776854922,9784123882,0,349
2776855042,16252357402,7,593
2776855042,36656293162,3,309
2814164122,10032734602,13,182
4431761602,13967545882,5,772
4431761602,13967546002,0,117
4431762202,13967547082,1,173
4431762322,13967547322,0,527
4431762802,13967548402,0,143
4431762922,13967548882,0,114
4431763042,13967549122,7,377
4431765202,13967556922,2,163
4431765322,13967557162,1,310
4431765562,13967558122,2,341
4431765682,13967558362,3,429
4431765682,13967558482,0,153
4431765802,13967558602,5,415
4431765802,13967558722,6,766
4431765922,13967558842,5,901
4431765922,13967558962,4,1265
4431766042,13967559082,1,285
4431766042,13967559202,5,261
4431766162,13967559442,1,162
4431766282,13967559802,1,301
4431766282,13967559922,1,109
4431766522,16266302602,0,178
4431766642,13967560642,2,1118
5143449202,25185221122,179,4445
5143449202,25185221242,20,335
5143449202,25185221362,42,1358
5143449322,16265637562,178,4226
5143449322,25185221482,20,541
5143449442,25185221602,24,638
5143449442,34214654122,70,1621
5143449562,25185222202,229,7942
5143449562,34214513482,123,4560
5143449682,25185222442,9,437
5143449682,25185222562,35,1092
5143449802,25185222682,22,408
5143449802,25185222802,27,603
5143449922,25185223162,23,687
5143449922,25185223282,138,2412
5143450042,25185223522,10,208
5143456042,22635230002,0,134
5143456522,22635230842,0,317
5143456522,22635230962,0,134
5143456642,22635231202,0,128
5143456762,22635231322,5,969
5143456762,22635231442,3,321
5143456882,16265661202,0,281
5143457122,22635231562,1,133
5143457122,22635231682,2,432
5143457242,22635231922,3,110
5143457482,22635232282,6,637
5147788282,28606813522,70,1046
5147788282,35523458122,79,1042
5147788642,16292635042,5,102
5147788642,16292635282,17,300
5147788882,16292636242,30,766
5147788882,16292636362,2,102
5147789602,29983433842,25,2230
5147789722,29981984842,80,3686
5147789722,29983676242,1,160
5147789842,16292639962,104,1636
5147790082,38164334842,198,2414
5147790082,38164379602,135,2477
5147790202,28606814122,26,686
5147790442,22611883762,39,3454
5147790562,22655426482,120,5294
5227448122,16896204682,4,187
5227448242,16896204922,16,1114
5227448362,16896205162,1,144
5227448362,16896205282,2,145
5227448482,16896205402,3,272
5227448482,16896205522,3,405
5227448842,16896207082,6,244
5227449562,25185224362,26,798
5227449562,25185224602,5,177
5227449682,25185224722,0,115
5227449802,16896210922,14,182
5227449802,16896211162,9,245
5227449922,25185225202,17,245
5227449922,25185225322,22,260
5227450282,16896212602,7,694
5227450402,16896212722,3,312
5227450522,16896212962,2,325
5227450642,22655426962,1,152
5227450762,16896213442,37,4274
5227450762,16896213562,2,300
5227450882,30800031442,0,244
5273442562,17198647402,122,228
5273442562,35524133362,128,218
5534010322,36444646762,532,26981
5704463962,28606813402,8,167
6828830362,22655426722,4,921
6828830362,22655426842,6,488
7037589322,23021962282,2,221
7037589322,23021962402,4,363
7504058602,35168663482,72,1431
7504058602,35168663602,16,241
8715916642,30055573162,22,994
8715956482,29983555042,17,1140
8902575922,30800004802,16,2068
10703963002,35522689402,84,568
11725327762,38207351722,3,304
11725327762,38253992962,1,255
11725337482,38207658442,7,298
11725337482,38253995482,2,187
11726462842,38210520562,6,116
11726462842,38253995602,5,148
11734540882,38252558602,5,313
11734541002,38252558722,7,134
11734541122,38252558842,8,209
